turn_id,dimension,human_score,human_passing,rater_initials
sd-t05,guidance,4,y,JC
sd-t05,actionability,5,y,JC
sd-t05,icap,4,y,JC
fh-t22,guidance,3,y,JC
fh-t22,actionability,2,n,JC
fh-t22,icap,3,y,JC
sd-t22,guidance,4,y,JC
sd-t22,actionability,4,y,JC
sd-t22,icap,2,n,JC
sc-t02,guidance,3,y,JC
sc-t02,actionability,3,y,JC
sc-t02,icap,3,y,JC
sc-t03,guidance,3,y,JC
sc-t03,actionability,2,n,JC
sc-t03,icap,2,n,JC
fh-t04,guidance,4,y,JC
fh-t04,actionability,3,y,JC
fh-t04,icap,3,y,JC
sd-t06,guidance,4,y,JC
sd-t06,actionability,4,y,JC
sd-t06,icap,2,n,JC
sd-t03,guidance,2,n,JC
sd-t03,actionability,2,n,JC
sd-t03,icap,2,n,JC
sd-t17,guidance,4,y,JC
sd-t17,actionability,5,y,JC
sd-t17,icap,4,y,JC
sd-t13,guidance,4,y,JC
sd-t13,actionability,5,y,JC
sd-t13,icap,4,y,JC
sc-t09,guidance,5,y,JC
sc-t09,actionability,4,y,JC
sc-t09,icap,3,y,JC
sc-t05,guidance,3,y,JC
sc-t05,actionability,3,y,JC
sc-t05,icap,3,y,JC
fh-t02,guidance,3,y,JC
fh-t02,actionability,3,y,JC
fh-t02,icap,3,y,JC
sd-t01,guidance,4,y,JC
sd-t01,actionability,5,y,JC
sd-t01,icap,4,y,JC
fh-t17,guidance,4,y,JC
fh-t17,actionability,3,y,JC
fh-t17,icap,3,y,JC
sc-t19,guidance,3,y,JC
sc-t19,actionability,2,n,JC
sc-t19,icap,2,n,JC
fh-t14,guidance,3,y,JC
fh-t14,actionability,3,y,JC
fh-t14,icap,3,y,JC
sc-t01,guidance,3,y,JC
sc-t01,actionability,3,y,JC
sc-t01,icap,3,y,JC
sd-t16,guidance,2,n,JC
sd-t16,actionability,2,n,JC
sd-t16,icap,2,n,JC
sd-t11,guidance,2,n,JC
sd-t11,actionability,2,n,JC
sd-t11,icap,2,n,JC
sc-t21,guidance,5,y,JC
sc-t21,actionability,4,y,JC
sc-t21,icap,3,y,JC
sc-t18,guidance,3,y,JC
sc-t18,actionability,3,y,JC
sc-t18,icap,3,y,JC
sd-t19,guidance,2,n,JC
sd-t19,actionability,2,n,JC
sd-t19,icap,2,n,JC
fh-t00,guidance,2,n,JC
fh-t00,actionability,3,y,JC
fh-t00,icap,3,n,JC
sd-t09,guidance,4,y,JC
sd-t09,actionability,5,y,JC
sd-t09,icap,4,y,JC
sc-t16,guidance,3,y,JC
sc-t16,actionability,3,y,JC
sc-t16,icap,3,y,JC
fh-t13,guidance,4,y,JC
fh-t13,actionability,3,y,JC
fh-t13,icap,3,y,JC
sd-t15,guidance,2,n,JC
sd-t15,actionability,2,n,JC
sd-t15,icap,2,n,JC
sc-t07,guidance,4,y,JC
sc-t07,actionability,2,n,JC
sc-t07,icap,2,n,JC
fh-t07,guidance,3,y,JC
fh-t07,actionability,2,n,JC
fh-t07,icap,2,n,JC
sd-t02,guidance,4,y,JC
sd-t02,actionability,4,y,JC
sd-t02,icap,2,n,JC
sd-t00,guidance,2,n,JC
sd-t00,actionability,3,y,JC
sd-t00,icap,3,n,JC
sd-t20,guidance,2,n,JC
sd-t20,actionability,2,n,JC
sd-t20,icap,2,n,JC
fh-t11,guidance,5,y,JC
fh-t11,actionability,5,y,JC
fh-t11,icap,5,y,JC
sd-t23,guidance,2,n,JC
sd-t23,actionability,2,n,JC
sd-t23,icap,2,n,JC
fh-t03,guidance,5,y,JC
fh-t03,actionability,5,y,JC
fh-t03,icap,4,y,JC
